Major,Year,Term,Course Code,Course Name,Hours
Computer Science + Advertising,Second Year,First Semester,,Elective or Language Other Than English (3rd Level),4
Computer Science + Advertising,Third Year,First Semester,ADV 390,ADV 390,3
Computer Science + Advertising,Third Year,Second Semester,ADV 360,ADV 360,3
Computer Science + Advertising,Third Year,First Semester,CS 374,CS 374,4
Computer Science + Advertising,Third Year,Second Semester,ADV 492,ADV 492,3
Computer Science + Advertising,Third Year,First Semester,BADM 320,BADM 320,3
Computer Science + Advertising,Third Year,Second Semester,ECON 103,ECON 103,3
Computer Science + Advertising,Third Year,First Semester,ECON 102,ECON 102,3
Computer Science + Advertising,Third Year,Second Semester,ANTH 103,ANTH 103,3-4
Computer Science + Advertising,Third Year,First Semester,,General Education course,3
Computer Science + Advertising,Third Year,Second Semester,,General Education course,3
Computer Science + Advertising,Fourth Year,First Semester,CS 421,CS 421,3
Computer Science + Advertising,Fourth Year,Second Semester,ADV 461,ADV 461,3
Computer Science + Advertising,Fourth Year,First Semester,,Advertising elective course,3
Computer Science + Advertising,Fourth Year,Second Semester,,CS Tech elective course,3
Computer Science + Advertising,Fourth Year,First Semester,,CS Tech elective course,3
Computer Science + Advertising,Fourth Year,Second Semester,,Elective course,3
Computer Science + Advertising,Fourth Year,First Semester,,General Education course,3
Computer Science + Advertising,Fourth Year,Second Semester,,Elective course,3
Computer Science + Advertising,Fourth Year,First Semester,,Elective course,3
Computer Science + Animal Sciences,First Year,First Semester,CS 124,CS 124,3
Computer Science + Animal Sciences,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Animal Sciences,First Year,First Semester,CS 100,CS 100,1
Computer Science + Animal Sciences,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Animal Sciences,First Year,First Semester,MATH 220,MATH 220,5
Computer Science + Animal Sciences,First Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Animal Sciences,First Year,First Semester,CMN 101,CMN 101,3
Computer Science + Animal Sciences,First Year,Second Semester,CHEM 102,CHEM 102,3
Computer Science + Animal Sciences,First Year,First Semester,ANSC 100,ANSC 100,4
Computer Science + Animal Sciences,First Year,Second Semester,CHEM 103,CHEM 103,1
Computer Science + Animal Sciences,First Year,First Semester,RHET 105,RHET 105,4
Computer Science + Animal Sciences,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Animal Sciences,Second Year,Second Semester,,Language Other than English (3rd level),3
Computer Science + Animal Sciences,Second Year,First Semester,CS 222,CS 222,1
Computer Science + Animal Sciences,Second Year,Second Semester,CS 240,CS 240 (now CS 340),3
Computer Science + Animal Sciences,Second Year,First Semester,CHEM 104,CHEM 104,3
Computer Science + Animal Sciences,Second Year,Second Semester,ANSC 223,ANSC 223,3
Computer Science + Animal Sciences,Second Year,First Semester,CHEM 105,CHEM 105,1
Computer Science + Animal Sciences,Second Year,Second Semester,ANSC 224,ANSC 224,4
Computer Science + Animal Sciences,Second Year,First Semester,ANSC 221,ANSC 221,3
Computer Science + Animal Sciences,Second Year,Second Semester,,Applied Animal Science course,3
Computer Science + Animal Sciences,Second Year,First Semester,ANSC 222,ANSC 222,3
Computer Science + Animal Sciences,Second Year,First Semester,ANSC 398,ANSC 398,1
Computer Science + Animal Sciences,Third Year,First Semester,MATH 257,MATH 257,3
Computer Science + Animal Sciences,Third Year,Second Semester,CS 374,CS 374,4
Computer Science + Animal Sciences,Third Year,First Semester,,Basic Animal Science Course,3
Computer Science + Animal Sciences,Third Year,Second Semester,CS 361,CS 361,3
Computer Science + Animal Sciences,Third Year,First Semester,,Applied Animal Science course,3
Computer Science + Animal Sciences,Third Year,Second Semester,,CS 4XX,3
Computer Science + Animal Sciences,Third Year,First Semester,,General Education course,3
Computer Science + Animal Sciences,Third Year,Second Semester,,General Education course,3
Computer Science + Animal Sciences,Third Year,First Semester,,CS 4XX,4
Computer Science + Animal Sciences,Third Year,Second Semester,,General Education course,3
Computer Science + Animal Sciences,Fourth Year,First Semester,CS 357,CS 357,3
Computer Science + Animal Sciences,Fourth Year,Second Semester,ANSC 498,ANSC 498,2
Computer Science + Animal Sciences,Fourth Year,First Semester,,Basic Animal Science course,3
Computer Science + Animal Sciences,Fourth Year,Second Semester,,General Education course,3
Computer Science + Animal Sciences,Fourth Year,First Semester,,Applied Animal Science course,3
Computer Science + Animal Sciences,Fourth Year,Second Semester,,General Education course,3
Computer Science + Animal Sciences,Fourth Year,First Semester,,General Education course,3
Computer Science + Animal Sciences,Fourth Year,Second Semester,,Basic Animal Science course,3
Computer Science + Animal Sciences,Fourth Year,First Semester,,General Education course,3
Computer Science + Animal Sciences,Fourth Year,Second Semester,ECON 102,ECON 102,3
Computer Science + Anthropology,First Year,First Semester,,Free elective course,1
Computer Science + Anthropology,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Anthropology,First Year,First Semester,CS 100,CS 100,1
Computer Science + Anthropology,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Anthropology,First Year,First Semester,,ANTH Foundation course,3
Computer Science + Anthropology,First Year,Second Semester,,ANTH Foundation course,3
Computer Science + Anthropology,First Year,First Semester,CS 124,CS 124,3
Computer Science + Anthropology,First Year,Second Semester,MATH 220,MATH 220,4
Computer Science + Anthropology,First Year,First Semester,,Composition I or General Education course,4
Computer Science + Anthropology,First Year,Second Semester,,General Education course or Composition I,3
Computer Science + Anthropology,First Year,First Semester,,General Education Course,3
Computer Science + Anthropology,Second Year,First Semester,CS 222,CS 222,1
Computer Science + Anthropology,Second Year,Second Semester,CS 233,CS 233,4
Computer Science + Anthropology,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Anthropology,Second Year,Second Semester,STAT 200,STAT 200,3
Computer Science + Anthropology,Second Year,First Semester,MATH 225,MATH 225,3
Computer Science + Anthropology,Second Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Anthropology,Second Year,First Semester,,Language Other Than English (3rd level),4
Computer Science + Anthropology,Second Year,Second Semester,,Language Other Than English (4th level),4
Computer Science + Anthropology,Second Year,First Semester,,General Education course,3
Computer Science + Anthropology,Second Year,Second Semester,,General Education Course,3
Computer Science + Anthropology,Third Year,First Semester,CS 341,CS 341,4
Computer Science + Anthropology,Third Year,Second Semester,CS 374,CS 374,4
Computer Science + Anthropology,Third Year,First Semester,,ANTH Foundation course,3
Computer Science + Anthropology,Third Year,Second Semester,,CS 400-level course or Free elective course,3
Computer Science + Anthropology,Third Year,First Semester,,ANTH Elective course,3
Computer Science + Anthropology,Third Year,Second Semester,,ANTH Elective course,3
Computer Science + Anthropology,Third Year,First Semester,,General Education Course,3
Computer Science + Anthropology,Third Year,Second Semester,,General Education Course,3
Computer Science + Anthropology,Third Year,First Semester,,General Education Course,3
Computer Science + Anthropology,Third Year,Second Semester,,General Education Course,3
Computer Science + Anthropology,Fourth Year,First Semester,CS 421,CS 421,3
Computer Science + Anthropology,Fourth Year,Second Semester,,ANTH Foundation course,3
Computer Science + Anthropology,Fourth Year,First Semester,,ANTH Foundation course,3
Computer Science + Anthropology,Fourth Year,Second Semester,,General Education Course,3
Computer Science + Anthropology,Fourth Year,First Semester,,General Education Course,3
Computer Science + Anthropology,Fourth Year,Second Semester,,Free elective course,3
Computer Science + Anthropology,Fourth Year,First Semester,,Free elective course,4
Computer Science + Anthropology,Fourth Year,Second Semester,,Free elective course,3
Computer Science + Astronomy,First Year,First Semester,,Free elective course,1
Computer Science + Astronomy,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Astronomy,First Year,First Semester,CS 100,CS 100,1
Computer Science + Astronomy,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Astronomy,First Year,First Semester,CS 124,CS 124,3
Computer Science + Astronomy,First Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Astronomy,First Year,First Semester,MATH 220,MATH 220,5
Computer Science + Astronomy,First Year,Second Semester,PHYS 211,PHYS 211,4
Computer Science + Astronomy,First Year,First Semester,,Composition I or General Education course,4
Computer Science + Astronomy,First Year,Second Semester,,General Education or Composition I course,3
Computer Science + Astronomy,Second Year,First Semester,ASTR 210,ASTR 210,3
Computer Science + Astronomy,Second Year,Second Semester,CS 340,CS 340,3
Computer Science + Astronomy,Second Year,First Semester,CS 222,CS 222,1
Computer Science + Astronomy,Second Year,Second Semester,MATH 241,MATH 241,4
Computer Science + Astronomy,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Astronomy,Second Year,Second Semester,PHYS 212,PHYS 212,4
Computer Science + Astronomy,Second Year,First Semester,MATH 257,MATH 257,3
Computer Science + Astronomy,Second Year,Second Semester,,Language Other Than English (4th level),4
Computer Science + Astronomy,Second Year,First Semester,,Language Other Than English (3rd level),4
Computer Science + Astronomy,Third Year,First Semester,ASTR 310,ASTR 310,3
Computer Science + Astronomy,Third Year,Second Semester,ASTR 404,ASTR 404,3
Computer Science + Astronomy,Third Year,First Semester,CS 361,CS 361,3
Computer Science + Astronomy,Third Year,Second Semester,CS 421,CS 421,3
Computer Science + Astronomy,Third Year,First Semester,CS 374,CS 374,4
Computer Science + Astronomy,Third Year,Second Semester,,General Education course,3
Computer Science + Astronomy,Third Year,First Semester,,General Education course,3
Computer Science + Astronomy,Third Year,Second Semester,,General Education course,3
Computer Science + Astronomy,Third Year,First Semester,,General Education course,3
Computer Science + Astronomy,Third Year,Second Semester,,Free elective course,3
Computer Science + Astronomy,Fourth Year,First Semester,ASTR 404,ASTR 404,3
Computer Science + Astronomy,Fourth Year,Second Semester,,Advanced ASTR Elective,3
Computer Science + Astronomy,Fourth Year,First Semester,,CS Tech Elective,3
Computer Science + Astronomy,Fourth Year,Second Semester,,CS Tech Elective,3
Computer Science + Astronomy,Fourth Year,First Semester,,General Education course,3
Computer Science + Astronomy,Fourth Year,Second Semester,,General Education course,3
Computer Science + Astronomy,Fourth Year,First Semester,,General Education course,3
Computer Science + Astronomy,Fourth Year,Second Semester,,Free elective course,3
Computer Science + Astronomy,Fourth Year,First Semester,,Free elective course,3
Computer Science + Astronomy,Fourth Year,Second Semester,,Free elective course,2
Computer Science + Bioengineering,First Year,First Semester,ENG 100,ENG 100,1
Computer Science + Bioengineering,First Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Bioengineering,First Year,First Semester,BIOE 100,BIOE 100,1
Computer Science + Bioengineering,First Year,Second Semester,BIOE 120,BIOE 120,1
Computer Science + Bioengineering,First Year,First Semester,MATH 221,MATH 221,4
Computer Science + Bioengineering,First Year,Second Semester,PHYS 211,PHYS 211,4
Computer Science + Bioengineering,First Year,First Semester,CS 124,CS 124,3
Computer Science + Bioengineering,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Bioengineering,First Year,First Semester,,Composition I or General Education (choose a Humanities or Social/Behavioral Science course with Cultural Studies designation),4-3
Computer Science + Bioengineering,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Bioengineering,First Year,First Semester,CHEM 102,CHEM 102,3
Computer Science + Bioengineering,First Year,Second Semester,,General Education choose a Humanities or Social/Behavioral Science course with Cultural Studies designation or Composition I,3-4
Computer Science + Bioengineering,Second Year,First Semester,MATH 241,MATH 241,4
Computer Science + Bioengineering,Second Year,Second Semester,MATH 285,MATH 285,3
Computer Science + Bioengineering,Second Year,First Semester,PHYS 212,PHYS 212,4
Computer Science + Bioengineering,Second Year,Second Semester,MATH 257,MATH 257,3
Computer Science + Bioengineering,Second Year,First Semester,CS 222,CS 222,1
Computer Science + Bioengineering,Second Year,Second Semester,CS 233,CS 233,4-3
Computer Science + Bioengineering,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Bioengineering,Second Year,Second Semester,BIOE 205,BIOE 205,3
Computer Science + Bioengineering,Second Year,First Semester,,General Education course (choose a Humanities or Social/Behavioral Science course with Cultural Studies designation),3
Computer Science + Bioengineering,Second Year,Second Semester,,General Education course (choose a Humanities or Social/Behavioral Science course with Cultural Studies designation),3
Computer Science + Bioengineering,Third Year,First Semester,CS 341,CS 341,4
Computer Science + Bioengineering,Third Year,Second Semester,CS 374,CS 374,4
Computer Science + Bioengineering,Third Year,First Semester,BIOE 206,BIOE 206,3
Computer Science + Bioengineering,Third Year,Second Semester,BIOE 310,BIOE 310,3
Computer Science + Bioengineering,Third Year,First Semester,,BIOE Technical Elective course,3
Computer Science + Bioengineering,Third Year,Second Semester,,BIOE Technical Elective course,3
Computer Science + Bioengineering,Third Year,First Semester,,Free elective course,2-4
Computer Science + Bioengineering,Third Year,Second Semester,,CS Technical Elective course,3
Computer Science + Bioengineering,Third Year,First Semester,,Language Other Than English (3rd level) course,4
Computer Science + Bioengineering,Third Year,Second Semester,,Upper Division Technical Elective course,3
Computer Science + Bioengineering,Fourth Year,First Semester,CS 357,CS 357,3
Computer Science + Bioengineering,Fourth Year,Second Semester,BIOE 404,BIOE 404,4-3
Computer Science + Bioengineering,Fourth Year,First Semester,,BIOE Technical Elective course,3
Computer Science + Bioengineering,Fourth Year,Second Semester,,BIOE Technical Elective course,3
Computer Science + Bioengineering,Fourth Year,First Semester,,BIOE Technical Elective course,3
Computer Science + Bioengineering,Fourth Year,Second Semester,,Upper Division Technical Elective course,3
Computer Science + Bioengineering,Fourth Year,First Semester,,Free elective course,3
Computer Science + Bioengineering,Fourth Year,Second Semester,,Free elective course or CS Technical Elective course,3-4
Computer Science + Bioengineering,Fourth Year,First Semester,,General Education course (choose a Humanities or Social/Behavioral Science course that is also Advanced Composition) or BIOE 404,3-4
Computer Science + Bioengineering,Fourth Year,Second Semester,,Free elective course,3
Computer Science + Chemistry,First Year,First Semester,,Free elective course,1
Computer Science + Chemistry,First Year,Second Semester,CHEM 104,CHEM 104,3
Computer Science + Chemistry,First Year,First Semester,CS 100,CS 100,1
Computer Science + Chemistry,First Year,Second Semester,CHEM 105,CHEM 105,1
Computer Science + Chemistry,First Year,First Semester,CS 124,CS 124,3
Computer Science + Chemistry,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Chemistry,First Year,First Semester,CHEM 102,CHEM 102,3
Computer Science + Chemistry,First Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Chemistry,First Year,First Semester,CHEM 103,CHEM 103,1
Computer Science + Chemistry,First Year,Second Semester,,Composition I or General Education course,4
Computer Science + Chemistry,First Year,First Semester,MATH 220,MATH 220,5
Computer Science + Chemistry,First Year,First Semester,,General Education course or Composition I,3
Computer Science + Chemistry,Second Year,First Semester,CHEM 232,CHEM 232,4
Computer Science + Chemistry,Second Year,Second Semester,,Advanced Chemistry course,3
Computer Science + Chemistry,Second Year,First Semester,CS 173,CS 173,3
Computer Science + Chemistry,Second Year,Second Semester,CS 225,CS 225,4
Computer Science + Chemistry,Second Year,First Semester,,General Education course,3
Computer Science + Chemistry,Second Year,Second Semester,CS 222,CS 222,1
Computer Science + Chemistry,Second Year,First Semester,,Language Other Than English (3rd level),4
Computer Science + Chemistry,Second Year,Second Semester,MATH 225,MATH 225,3
Computer Science + Chemistry,Second Year,First Semester,,Language Other Than English (4th level),4
Computer Science + Chemistry,Third Year,First Semester,CS 233,CS 233,4
Computer Science + Chemistry,Third Year,Second Semester,CS 341,CS 341,4
Computer Science + Chemistry,Third Year,First Semester,,Advanced Chemistry course,3
Computer Science + Chemistry,Third Year,Second Semester,,Advanced Chemistry course,2
Computer Science + Chemistry,Third Year,First Semester,STAT 200,STAT 200,3
Computer Science + Chemistry,Third Year,Second Semester,,General Education course,3
Computer Science + Chemistry,Third Year,First Semester,,General Education course,3
Computer Science + Chemistry,Third Year,Second Semester,,General Education course,3
Computer Science + Chemistry,Third Year,First Semester,,Free elective course,3
Computer Science + Chemistry,Third Year,Second Semester,,Free elective course,3
Computer Science + Chemistry,Fourth Year,First Semester,CS 374,CS 374,4
Computer Science + Chemistry,Fourth Year,Second Semester,CS 421,CS 421,3
Computer Science + Chemistry,Fourth Year,First Semester,CHEM 440,CHEM 440,4
Computer Science + Chemistry,Fourth Year,Second Semester,,General Education course,3
Computer Science + Chemistry,Fourth Year,First Semester,,CS 400-level course or Free elective course,3
Computer Science + Chemistry,Fourth Year,Second Semester,,General Education course,3
Computer Science + Chemistry,Fourth Year,First Semester,,General Education course,3
Computer Science + Chemistry,Fourth Year,Second Semester,,Free elective course,3
Computer Science + Chemistry,Fourth Year,First Semester,,Free elective course,3
Computer Science + Crop Sciences,First Year,First Semester,CS 124,CS 124,3
Computer Science + Crop Sciences,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Crop Sciences,First Year,First Semester,CS 100,CS 100,1
Computer Science + Crop Sciences,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Crop Sciences,First Year,First Semester,MATH 220,MATH 220,5
Computer Science + Crop Sciences,First Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Crop Sciences,First Year,First Semester,CMN 101,CMN 101,3
Computer Science + Crop Sciences,First Year,Second Semester,RHET 105,RHET 105,4
Computer Science + Crop Sciences,First Year,First Semester,CPSC 102,CPSC 102,2
Computer Science + Crop Sciences,First Year,Second Semester,CPSC 112,CPSC 112,4
Computer Science + Crop Sciences,First Year,First Semester,ACES 101,ACES 101,2
Computer Science + Crop Sciences,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Crop Sciences,Second Year,Second Semester,,Language Other than English (3rd level),3
Computer Science + Crop Sciences,Second Year,First Semester,CS 222,CS 222,1
Computer Science + Crop Sciences,Second Year,Second Semester,CS 240,CS 240 (now CS 340),3
Computer Science + Crop Sciences,Second Year,First Semester,,General Education course,3
Computer Science + Crop Sciences,Second Year,Second Semester,CPSC 212,CPSC 212,4
Computer Science + Crop Sciences,Second Year,First Semester,,Free Elective course,3
Computer Science + Crop Sciences,Second Year,Second Semester,,General Education course,3
Computer Science + Crop Sciences,Second Year,First Semester,,Free Elective course,3
Computer Science + Crop Sciences,Second Year,Second Semester,,Free Elective course,2
Computer Science + Crop Sciences,Third Year,First Semester,,Mathematical Foundations Algebra or Matrix Theory course,2
Computer Science + Crop Sciences,Third Year,Second Semester,CS 374,CS 374,4
Computer Science + Crop Sciences,Third Year,First Semester,,General Education course,3
Computer Science + Crop Sciences,Third Year,Second Semester,CS 361,CS 361,3
Computer Science + Crop Sciences,Third Year,First Semester,,CS 4XX,4
Computer Science + Crop Sciences,Third Year,Second Semester,,CS 4XX,3
Computer Science + Crop Sciences,Third Year,First Semester,CPSC 393,CPSC 393,3
Computer Science + Crop Sciences,Third Year,Second Semester,,General Education course,3
Computer Science + Crop Sciences,Third Year,First Semester,CPSC 440,CPSC 440,4
Computer Science + Crop Sciences,Third Year,Second Semester,,General Education course,3
Computer Science + Crop Sciences,Fourth Year,First Semester,CS 421,CS 421,3
Computer Science + Crop Sciences,Fourth Year,Second Semester,,General Education course,3
Computer Science + Crop Sciences,Fourth Year,First Semester,,General Education course,3
Computer Science + Crop Sciences,Fourth Year,Second Semester,,General Education course,3
Computer Science + Crop Sciences,Fourth Year,First Semester,,General Education course,3
Computer Science + Crop Sciences,Fourth Year,Second Semester,ECON 102,ECON 102,3
Computer Science + Crop Sciences,Fourth Year,First Semester,CPSC 498,CPSC 498,1
Computer Science + Crop Sciences,Fourth Year,Second Semester,,Any CPSC/HORT/PLPA course except CPSC 241,3
Computer Science + Crop Sciences,Fourth Year,First Semester,CPSC 444,CPSC 444,4
Computer Science + Crop Sciences,Fourth Year,Second Semester,,Free Elective course,3
Computer Science + Crop Sciences,Fourth Year,First Semester,,"4XX Elective CPSC, PLPA or HORT course",3
Computer Science + Economics,First Year,First Semester,,Free elective course,1
Computer Science + Economics,First Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Economics,First Year,First Semester,CS 100,CS 100,1
Computer Science + Economics,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Economics,First Year,First Semester,MATH 220,MATH 220,4
Computer Science + Economics,First Year,Second Semester,ECON 103,ECON 103,3
Computer Science + Economics,First Year,First Semester,ECON 102,ECON 102,3
Computer Science + Economics,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Economics,First Year,First Semester,,Composition I or General Education course,4
Computer Science + Economics,First Year,Second Semester,,General Education course or Composition I,3
Computer Science + Economics,First Year,First Semester,CS 124,CS 124,3
Computer Science + Economics,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Economics,Second Year,Second Semester,CS 222,CS 222,1
Computer Science + Economics,Second Year,First Semester,CS 233,CS 233,4
Computer Science + Economics,Second Year,Second Semester,CS 341,CS 341,4
Computer Science + Economics,Second Year,First Semester,ECON 202,ECON 202 or STAT 200 or STAT 212 or CS 361,3
Computer Science + Economics,Second Year,Second Semester,ECON 203,ECON 203,3
Computer Science + Economics,Second Year,First Semester,,Language Other Than English (3rd level),4
Computer Science + Economics,Second Year,Second Semester,,Language Other Than English (4th level),4
Computer Science + Economics,Second Year,First Semester,,General Education course,3
Computer Science + Economics,Third Year,First Semester,CS 421,CS 421,3
Computer Science + Economics,Third Year,Second Semester,,CS 400-level course or Free elective course,3
Computer Science + Economics,Third Year,First Semester,ECON 302,ECON 302,3
Computer Science + Economics,Third Year,Second Semester,,General Education course,3
Computer Science + Economics,Third Year,First Semester,CS 374,CS 374,4
Computer Science + Economics,Third Year,Second Semester,,Free elective course,3
Computer Science + Economics,Third Year,First Semester,MATH 225,MATH 225,3
Computer Science + Economics,Third Year,Second Semester,,Free elective course,3
Computer Science + Economics,Third Year,First Semester,,General Education course,3
Computer Science + Economics,Third Year,Second Semester,,Free elective course,3
Computer Science + Economics,Fourth Year,First Semester,,General Education course,3
Computer Science + Economics,Fourth Year,Second Semester,,General Education course,3
Computer Science + Economics,Fourth Year,First Semester,,General Education course,3
Computer Science + Economics,Fourth Year,Second Semester,,General Education course,3
Computer Science + Economics,Fourth Year,First Semester,,ECON 400-level course,3
Computer Science + Economics,Fourth Year,Second Semester,,ECON 400-level course,3
Computer Science + Economics,Fourth Year,First Semester,,ECON 400-level course,3
Computer Science + Economics,Fourth Year,Second Semester,,ECON 400-level course,3
Computer Science + Economics,Fourth Year,First Semester,,Free elective course,2
Computer Science + Economics,Fourth Year,Second Semester,,Free elective course,2
Computer Science + Education,First Year,First Semester,EDUC 101,EDUC 101,1
Computer Science + Education,First Year,Second Semester,,Composition I or General Education course,4
Computer Science + Education,First Year,First Semester,CS 124,CS 124,3
Computer Science + Education,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Education,First Year,First Semester,,Composition I or General Education course,4
Computer Science + Education,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Education,First Year,First Semester,,Language Other Than English (3rd level) or Elective course,4
Computer Science + Education,First Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Education,First Year,First Semester,MATH 220,MATH 220,4
Computer Science + Education,First Year,Second Semester,,General Education course,3
Computer Science + Education,Second Year,First Semester,CS 222,CS 222,1
Computer Science + Education,Second Year,Second Semester,CS 233,CS 233,4
Computer Science + Education,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Education,Second Year,Second Semester,CS 361,CS 361,3
Computer Science + Education,Second Year,First Semester,MATH 225,MATH 225,3
Computer Science + Education,Second Year,Second Semester,,General Education course (Humanities & Arts with a Cultural Studies designation),3
Computer Science + Education,Second Year,First Semester,,General Education course,3
Computer Science + Education,Second Year,Second Semester,,General Education course,3
Computer Science + Education,Second Year,First Semester,,Concentration course,3
Computer Science + Education,Second Year,Second Semester,,Concentration course,3
Computer Science + Education,Third Year,First Semester,CS 341,CS 341,4
Computer Science + Education,Third Year,Second Semester,CS 374,CS 374,4
Computer Science + Education,Third Year,First Semester,,General Education course,3
Computer Science + Education,Third Year,Second Semester,,Concentration course,3
Computer Science + Education,Third Year,First Semester,,General Education course,3
Computer Science + Education,Third Year,Second Semester,,Concentration course,3
Computer Science + Education,Third Year,First Semester,,General Education course,3
Computer Science + Education,Third Year,Second Semester,,Concentration course,3
Computer Science + Education,Third Year,First Semester,,Concentration course,3
Computer Science + Education,Third Year,Second Semester,,Elective course (or CS 400-level course),3
Computer Science + Education,Fourth Year,First Semester,CS 357,CS 357,3
Computer Science + Education,Fourth Year,Second Semester,,Concentration course,3
Computer Science + Education,Fourth Year,First Semester,,Concentration course,3
Computer Science + Education,Fourth Year,Second Semester,,Concentration course,3
Computer Science + Education,Fourth Year,First Semester,,Concentration course,3
Computer Science + Education,Fourth Year,Second Semester,,Concentration course,3
Computer Science + Education,Fourth Year,First Semester,,Concentration course,3
Computer Science + Education,Fourth Year,Second Semester,,General Education course,3
Computer Science + Education,Fourth Year,First Semester,,Elective course,2
Computer Science + Linguistics,First Year,First Semester,,Free elective course,1
Computer Science + Linguistics,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Linguistics,First Year,First Semester,CS 100,CS 100,1
Computer Science + Linguistics,First Year,Second Semester,CS 173,CS 173,3
Computer Science + Linguistics,First Year,First Semester,LING 100,LING 100,3
Computer Science + Linguistics,First Year,Second Semester,,200 - 400 level Linguistics Breadth course,3
Computer Science + Linguistics,First Year,First Semester,CS 124,CS 124,3
Computer Science + Linguistics,First Year,Second Semester,MATH 220,MATH 220,4
Computer Science + Linguistics,First Year,First Semester,,Composition I or General Education course,4
Computer Science + Linguistics,First Year,Second Semester,,General Education Course or Composition I,3
Computer Science + Linguistics,First Year,First Semester,,Free elective course,2
Computer Science + Linguistics,Second Year,First Semester,CS 222,CS 222,1
Computer Science + Linguistics,Second Year,Second Semester,STAT 200,STAT 200,3
Computer Science + Linguistics,Second Year,First Semester,CS 225,CS 225,4
Computer Science + Linguistics,Second Year,Second Semester,CS 233,CS 233,3
Computer Science + Linguistics,Second Year,First Semester,MATH 225,MATH 225,3
Computer Science + Linguistics,Second Year,Second Semester,MATH 231,MATH 231,3
Computer Science + Linguistics,Second Year,First Semester,,General Education course,3
Computer Science + Linguistics,Second Year,Second Semester,,General Education Course,3
Computer Science + Linguistics,Second Year,First Semester,,Language Other Than English (3rd level),4
Computer Science + Linguistics,Second Year,Second Semester,,Language Other Than English (4th level),4
Computer Science + Linguistics,Third Year,First Semester,CS 341,CS 341,4
Computer Science + Linguistics,Third Year,Second Semester,CS 374,CS 374,4
Computer Science + Linguistics,Third Year,First Semester,LING 301,LING 301,3
Computer Science + Linguistics,Third Year,Second Semester,,CS 400-level course or Free elective course,3
Computer Science + Linguistics,Third Year,First Semester,TRST 415,TRST 415,3
Computer Science + Linguistics,Third Year,Second Semester,LING 307,LING 307,3
Computer Science + Linguistics,Third Year,First Semester,,General Education Course,3
Computer Science + Linguistics,Third Year,Second Semester,,General Education Course,3
Computer Science + Linguistics,Third Year,First Semester,,General Education Course,3
Computer Science + Linguistics,Third Year,Second Semester,,General Education Course,3
Computer Science + Linguistics,Fourth Year,First Semester,CS 421,CS 421,3
Computer Science + Linguistics,Fourth Year,Second Semester,CS 446,CS 446,3
Computer Science + Linguistics,Fourth Year,First Semester,LING 406,LING 406,3
Computer Science + Linguistics,Fourth Year,Second Semester,LING 490,LING 490,3
Computer Science + Linguistics,Fourth Year,First Semester,,General Education Course,3
Computer Science + Linguistics,Fourth Year,Second Semester,,Free elective course,3
Computer Science + Linguistics,Fourth Year,First Semester,,Free elective course,3
Computer Science + Linguistics,Fourth Year,Second Semester,,Free elective course,2
Computer Science + Linguistics,Fourth Year,First Semester,,Free elective course,2
Computer Science + Linguistics,Fourth Year,Second Semester,,Free elective course,2
Computer Science + Music,First Year,First Semester,FAA 101,FAA 101,1
Computer Science + Music,First Year,Second Semester,MUS 102,MUS 102,2
Computer Science + Music,First Year,First Semester,MUS 100,MUS 100,0
Computer Science + Music,First Year,Second Semester,MUS 108,MUS 108,2
Computer Science + Music,First Year,First Semester,MUS 101,MUS 101,2
Computer Science + Music,First Year,Second Semester,MUS 105,MUS 105,2
Computer Science + Music,First Year,First Semester,MUS 107,MUS 107,2
Computer Science + Music,First Year,Second Semester,CS 128,CS 128,3
Computer Science + Music,First Year,First Semester,CS 124,CS 124,3
Computer Science + Music,First Year,Second Semester,CS 173,CS 173,3
